game_season,game_result,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,pf,tov,pts,plus_minus
56,W (+23),30:18,9,19,.474,5,11,.455,4,4,1.000,2,9,11,11,0,1,2,4,27,+19
57,L (-6),43:12,13,27,.481,4,11,.364,4,6,.667,1,3,4,7,1,0,3,6,34,-1
58,W (+2),31:59,7,18,.389,2,5,.400,3,3,1.000,1,7,8,6,2,0,5,4,19,-7
59,W (+20),21:51,6,10,.600,1,4,.250,1,1,1.000,0,3,3,4,1,0,3,0,14,+28
60,W (+14),30:02,5,10,.500,1,4,.250,2,2,1.000,0,3,3,7,1,0,1,0,13,+10
61,W (+6),30:16,7,16,.438,1,5,.200,3,3,1.000,0,2,2,9,0,0,1,1,18,+11
62,W (+23),22:17,4,12,.333,1,5,.200,1,1,1.000,0,2,2,4,3,0,1,3,10,-3
63,L (-13),29:18,5,11,.455,2,5,.400,1,1,1.000,1,4,5,11,1,0,3,4,13,+2
64,L (-9),36:01,8,17,.471,5,10,.500,6,7,.857,0,4,4,8,3,0,1,4,27,+3
65,W (+1),40:08,11,24,.458,6,12,.500,9,9,1.000,0,4,4,5,1,0,4,5,37,-5
66,W (+14),31:46,9,13,.692,3,6,.500,2,2,1.000,1,2,3,5,0,0,1,3,23,+21
67,W (+5),38:04,9,14,.643,3,5,.600,10,10,1.000,1,2,3,10,1,0,2,4,31,+13
68,L (-9),39:25,5,13,.385,1,4,.250,9,9,1.000,0,6,6,6,1,0,0,6,20,-7
69,W (+7),38:03,13,22,.591,5,8,.625,2,3,.667,1,4,5,8,1,2,1,3,33,+9
70,L (-5),40:46,10,21,.476,6,12,.500,6,8,.750,1,3,4,1,1,0,2,2,32,+5
71,W (+2),43:07,10,17,.588,3,8,.375,0,0,,1,2,3,10,2,0,2,1,23,+8
72,L (-21),30:43,5,15,.333,1,4,.250,0,0,,0,0,0,10,1,0,2,4,11,-19
73,W (+33),28:33,5,12,.417,2,5,.400,1,1,1.000,1,1,2,5,1,0,2,1,13,+28
74,W (+28),29:28,12,18,.667,5,10,.500,2,2,1.000,0,1,1,16,3,0,2,5,31,+31
75,L (-1),33:32,8,19,.421,2,7,.286,6,6,1.000,0,7,7,6,4,0,1,2,24,-3
76,W (+17),34:43,12,20,.600,4,5,.800,2,2,1.000,0,10,10,12,2,0,3,6,30,+13
77,L (-2),45:26,16,29,.552,7,14,.500,8,8,1.000,1,0,1,5,4,0,3,4,47,+6
78,W (+10),41:57,10,21,.476,7,13,.538,5,5,1.000,1,4,5,15,3,0,4,5,32,+10
1,W (+18),36:32,7,17,.412,2,9,.222,8,9,.889,1,9,10,5,6,0,5,4,24,+20
2,W (+23),34:06,10,19,.526,3,8,.375,8,8,1.000,0,5,5,10,3,0,3,2,31,+30
3,W (+5),30:50,6,18,.333,1,5,.200,8,8,1.000,1,4,5,6,2,0,1,3,21,+12
4,W (+17),33:49,9,18,.500,4,8,.500,6,6,1.000,0,6,6,7,1,0,4,5,28,+21
5,W (+11),39:58,13,19,.684,6,9,.667,2,2,1.000,1,8,9,5,4,0,2,5,34,+13
6,L (-12),34:04,10,20,.500,4,10,.400,4,4,1.000,0,2,2,10,5,0,5,10,28,-6
7,L (-13),35:46,7,18,.389,0,7,.000,2,2,1.000,0,6,6,5,0,0,2,3,16,-18
8,W (+8),31:56,6,12,.500,3,7,.429,2,2,1.000,1,2,3,5,0,0,5,3,17,+6
9,W (+25),28:18,8,15,.533,3,6,.500,0,1,.000,2,3,5,9,1,0,3,1,19,+23
10,W (+21),29:56,10,19,.526,5,9,.556,5,5,1.000,0,4,4,15,1,0,0,3,30,+27
11,W (+13),24:30,3,9,.333,2,6,.333,0,0,,0,5,5,10,2,0,2,4,8,+23
12,W (+5),38:07,5,15,.333,2,6,.333,3,4,.750,0,6,6,6,1,0,0,1,15,+2
13,W (+17),37:05,12,19,.632,8,11,.727,8,9,.889,0,6,6,7,3,1,2,2,40,+28
14,W (+15),23:38,9,13,.692,6,8,.750,4,5,.800,1,4,5,8,0,0,1,1,28,+22
15,W (+5),32:20,9,20,.450,1,10,.100,7,7,1.000,1,3,4,6,1,2,4,4,26,+16
16,W (+11),28:22,5,9,.556,1,3,.333,5,6,.833,1,2,3,10,1,0,2,1,16,+11
17,W (+1),36:27,8,17,.471,3,9,.333,3,3,1.000,1,3,4,5,0,0,2,4,22,+8
18,W (+27),30:37,8,17,.471,3,6,.500,0,0,,0,3,3,11,4,1,0,2,19,+11
19,W (+10),36:11,5,14,.357,1,5,.200,8,9,.889,1,5,6,7,1,0,2,3,19,+7
